"code","itemname","Dataset","Description"
"2","CH/053b: category 2","care0176","Care experienced young people at the 31 March, by local authority and category"
"1","CH/053a: category 1","care0176","Care experienced young people at the 31 March, by local authority and category"
"99","CH/053: Total","care0176","Care experienced young people at the 31 March, by local authority and category"
"3","CH/053c: category 3","care0176","Care experienced young people at the 31 March, by local authority and category"
"1","AD/029: The number of adults who paid the maximum weekly charge towards the cost of care or support for carers during the year","care0186","Adults charged for care and support, by local authority and measure"
"1","CA/001: The total number of contacts to statutory social services by adult carers or professionals contacting the service on their behalf received during the year","care0188","Contacts received for adult carers by statutory social services during the year, by local authority"
"2","CA/002: The number of contacts by adult carers received by statutory Social Services during the year where advice or assistance was provided","care0188","Contacts received for adult carers by statutory social services during the year, by local authority"
"1","CA/003a: Self","care0189","Contacts received for adult carers during the year, by local authority and source of contact"
"2","CA/003b: Relative","care0189","Contacts received for adult carers during the year, by local authority and source of contact"
"3","CA/003c: Friend or neighbour","care0189","Contacts received for adult carers during the year, by local authority and source of contact"
"4","CA/003d: Early intervention prevention service (Step-up)","care0189","Contacts received for adult carers during the year, by local authority and source of contact"
"5","CA/003e: Health","care0189","Contacts received for adult carers during the year, by local authority and source of contact"
"6","CA/003f: Education","care0189","Contacts received for adult carers during the year, by local authority and source of contact"
"7","CA/003g: Housing","care0189","Contacts received for adult carers during the year, by local authority and source of contact"
"8","CA/003h: Police","care0189","Contacts received for adult carers during the year, by local authority and source of contact"
"9","CA/003i: Probation","care0189","Contacts received for adult carers during the year, by local authority and source of contact"
"10","CA/003j: Third Sector Organisation","care0189","Contacts received for adult carers during the year, by local authority and source of contact"
"11","CA/003k: Local Authority","care0189","Contacts received for adult carers during the year, by local authority and source of contact"
"12","CA/003l: Independent Hospital","care0189","Contacts received for adult carers during the year, by local authority and source of contact"
"13","CA/003m: Ambulance Service","care0189","Contacts received for adult carers during the year, by local authority and source of contact"
"14","CA/003n: Care Regulator","care0189","Contacts received for adult carers during the year, by local authority and source of contact"
"15","CA/003o: Provider","care0189","Contacts received for adult carers during the year, by local authority and source of contact"
"16","CA/003p: Advocate","care0189","Contacts received for adult carers during the year, by local authority and source of contact"
"17","CA/003q: Internal (Social Worker, Other Team)","care0189","Contacts received for adult carers during the year, by local authority and source of contact"
"18","CA/003r: Other","care0189","Contacts received for adult carers during the year, by local authority and source of contact"
"99","CA/003: Total","care0189","Contacts received for adult carers during the year, by local authority and source of contact"
"1","CA/004: The total number of carers needs assessments for adults undertaken during the year","care0190","Carers needs assessments for adults undertaken during the year, by local authority"
"2","CA/005a: Needs could be met with a carers support plan or care and support plan","care0190","Carers needs assessments for adults undertaken during the year, by local authority"
"3","CA/005b: Needs were able to be met by any other means","care0190","Carers needs assessments for adults undertaken during the year, by local authority"
"4","CA/005c: There were no eligible needs to meet","care0190","Carers needs assessments for adults undertaken during the year, by local authority"
"99","CA/005: Total number of carers needs assessments for adults (in CA/004) with an outcome","care0190","Carers needs assessments for adults undertaken during the year, by local authority"
"1","CA/011: The total number of contacts to statutory social serviced by young carers or professionals contacting the service on their behalf received during the year","care0192","Contacts received for young carers by statutory social services during the year, by local authority"
"2","CA/012: Of those identified, the number where advice and assistance was provided","care0192","Contacts received for young carers by statutory social services during the year, by local authority"
"1","CA/013a: Self","care0193","Contacts received for young carers by statutory children’s services during the year, by local authority and source of contact"
"2","CA/013b: Relative","care0193","Contacts received for young carers by statutory children’s services during the year, by local authority and source of contact"
"3","CA/013c: Friend or neighbour","care0193","Contacts received for young carers by statutory children’s services during the year, by local authority and source of contact"
"4","CA/013d: Early intervention prevention service (Step-up)","care0193","Contacts received for young carers by statutory children’s services during the year, by local authority and source of contact"
"5","CA/013e: Health","care0193","Contacts received for young carers by statutory children’s services during the year, by local authority and source of contact"
"6","CA/013f: Education","care0193","Contacts received for young carers by statutory children’s services during the year, by local authority and source of contact"
"7","CA/013g: Housing","care0193","Contacts received for young carers by statutory children’s services during the year, by local authority and source of contact"
"8","CA/013h: Police","care0193","Contacts received for young carers by statutory children’s services during the year, by local authority and source of contact"
"9","CA/013i: Probation","care0193","Contacts received for young carers by statutory children’s services during the year, by local authority and source of contact"
"10","CA/013j: Third Sector Organisation","care0193","Contacts received for young carers by statutory children’s services during the year, by local authority and source of contact"
"11","CA/013k: Local Authority","care0193","Contacts received for young carers by statutory children’s services during the year, by local authority and source of contact"
"12","CA/013l: Independent Hospital","care0193","Contacts received for young carers by statutory children’s services during the year, by local authority and source of contact"
"13","CA/013m: Ambulance Service","care0193","Contacts received for young carers by statutory children’s services during the year, by local authority and source of contact"
"14","CA/013n: Care Regulator","care0193","Contacts received for young carers by statutory children’s services during the year, by local authority and source of contact"
"15","CA/013o: Provider","care0193","Contacts received for young carers by statutory children’s services during the year, by local authority and source of contact"
"16","CA/013p: Advocate","care0193","Contacts received for young carers by statutory children’s services during the year, by local authority and source of contact"
"17","CA/013q: Internal (Social Worker, Other Team)","care0193","Contacts received for young carers by statutory children’s services during the year, by local authority and source of contact"
"18","CA/013r: Other","care0193","Contacts received for young carers by statutory children’s services during the year, by local authority and source of contact"
"99","CA/013: Total","care0193","Contacts received for young carers by statutory children’s services during the year, by local authority and source of contact"
"1","CA/014: The total number of young carers needs assessments undertaken during the year","care0194","Number of young carers needs assessments undertaken during the year, by local authority"
"2","CA/015a: Needs could be met using a young carers support plan or care and support plan","care0194","Number of young carers needs assessments undertaken during the year, by local authority"
"3","CA/015b: Needs were able to be met by any other means","care0194","Number of young carers needs assessments undertaken during the year, by local authority"
"4","CA/015c: There were no eligible needs to meet","care0194","Number of young carers needs assessments undertaken during the year, by local authority"
"99","CA/015: Outcome of assessment (CA/014)","care0194","Number of young carers needs assessments undertaken during the year, by local authority"
"1","CA/016a: There was evidence of the active offer of Welsh","care0195","The number of young carers needs assessments completed (CA/014) in Welsh during the year, by local authority"
"2","CA/016b: The Active Offer of Welsh was accepted","care0195","The number of young carers needs assessments completed (CA/014) in Welsh during the year, by local authority"
"1","AD/012: The number of adults with a care and support plan at 31 March","care0198","Adults with a care and support plan at 31 March, by local authority"
"2","AD/013: The total number of adults with a care and support plan where needs are met through a Direct Payment at 31 March","care0198","Adults with a care and support plan at 31 March, by local authority"
"1","AD/016: The number of care and support plans for adults that were due to be reviewed during the year","care0199","Care and support plans for adults that were due to be reviewed during the year, by local authority"
"2","AD/017: The number of care and support plans that were due to be reviewed during the year that were completed within statutory timescales","care0199","Care and support plans for adults that were due to be reviewed during the year, by local authority"
"3","AD/018: The number care and support plans for adults supported with direct payments that were due for review during the year","care0199","Care and support plans for adults that were due to be reviewed during the year, by local authority"
"4","AD/019: The number care and support plans for adults supported with direct payments that were due for review during the year that were completed within statutory timescales","care0199","Care and support plans for adults that were due to be reviewed during the year, by local authority"
"1","CA/017a: The number of young carers with a carers support plan at 31st March","care0205","Young Carers with a care and support plan at 31 March, by local authority"
"2","CA/017b: The number of young carers with a carers support plan at 31 March and also a care and support plan, where the young person has both responsibilities as a carer and their own care and support needs","care0205","Young Carers with a care and support plan at 31 March, by local authority"
"1","CA/018: The number of young carers support plans that were due to be reviewed during the year","care0210","Number of young carers support plans that were due to be reviewed during the year, by local authority"
"2","CA/019: Of those, the number whose reviews were completed within statutory timescales","care0210","Number of young carers support plans that were due to be reviewed during the year, by local authority"
"1","CH/054a: The total number of care leavers in categories 2,3 and 4 who have completed at least 3 consecutive months of employment, education or training in the 12 months since leaving care","care0211","Number of care leavers in categories 2,3 and 4, by local authority"
"2","CH/054c: The total number of care leavers in categories 2,3 and 4 who left care in the 12 months preceding the collection year","care0211","Number of care leavers in categories 2,3 and 4, by local authority"
"1","CA/006: The number of carers needs assessments for adults refused during the year","care0222","Number of carers needs assessments for adults refused during the year, by local authority"
"1","CA/007a: There was evidence of the active offer of Welsh","care0223","Number of carer’s needs assessments for adults completed during the year with an active offer of Welsh, by local authority"
"2","CA/007b: The Active Offer of Welsh was accepted","care0223","Number of carer’s needs assessments for adults completed during the year with an active offer of Welsh, by local authority"
"3","CA/007c: The assessment was undertaken using the language of choice","care0223","Number of carer’s needs assessments for adults completed during the year with an active offer of Welsh, by local authority"
"1","CA/008a: The number of adult carers with a support plan at 31 March","care0224","Number of adult carers with a support plan at 31 March, by local authority"
"2","CA/008b: The number of adults carers with a care and support plan at 31 March, where the individual receiving care and support also has responsibilities as a carer that is supported in the plan","care0224","Number of adult carers with a support plan at 31 March, by local authority"
"18","Number of patient pathways, assessed as Health Risk Factor R1, waiting within target date or within 25% beyond target date for an outpatient appointment.","hlth3020","Eye Care Measures for NHS Outpatients"
"19","Number of patient pathways, which have a target date allocated and are assessed as Health Risk Factor R1, waiting for an outpatient appointment.","hlth3020","Eye Care Measures for NHS Outpatients"
"21","Percentage of patient pathways, which have a target date allocated and are assessed as Health Risk Factor R1, waiting within target date or within 25% beyond target date for an outpatient appointment.","hlth3020","Eye Care Measures for NHS Outpatients"
"8","Total number of patient pathways, assessed as Health Risk Factor R1, waiting for an outpatient appointment.","hlth3020","Eye Care Measures for NHS Outpatients"
"22","Number of outpatient appointments attended where patients had been assessed as Health Risk Factor R1 and had waited within target date or within 25% beyond target date.","hlth3021","Eye Care Measures for NHS Outpatients"
"15","Total number of outpatient appointments attended where patients had been assessed as Health Risk Factor R1.","hlth3021","Eye Care Measures for NHS Outpatients"
"23","Total number of outpatient appointments attended where patients had been allocated a target date and been assessed as Health Risk Factor R1.","hlth3021","Eye Care Measures for NHS Outpatients"
"24","Percentage of outpatient appointments attended where patients had been allocated a target date and been assessed as Health Risk Factor R1 and had waited within target date or within 25% beyond target date.","hlth3021","Eye Care Measures for NHS Outpatients"
"Attendances","Total attendances","hlth0036","Performance against waiting times targets, all emergency care departments by local health board"
"Non-breaches","Attendances where patients spend less than the target time in an emergency department","hlth0036","Performance against waiting times targets, all emergency care departments by local health board"
"Percentages","Percentage of patients who spend less than the target time in an emergency department","hlth0036","Performance against waiting times targets, all emergency care departments by local health board"
"TargetOneYear","Patient pathways waiting longer than a year","hlth0084","Key ambitions of the planned care recovery plan for referral to treatment waiting times by date, treatment function, ambition and local health board"
"TargetFirstOP","Patient pathways waiting longer than a year for a first outpatient appointment","hlth0084","Key ambitions of the planned care recovery plan for referral to treatment waiting times by date, treatment function, ambition and local health board"
"TargetTwoYear","Patient pathways waiting longer than two years","hlth0084","Key ambitions of the planned care recovery plan for referral to treatment waiting times by date, treatment function, ambition and local health board"
"1","Adult care homes Total in the last 7 days","hlth0097","Number of adult care homes which have notified CIW of one or more confirmed cases of COVID-19, in staff or residents, by local authority and date"
"CADC_20","Adult & Child in the last 20 days","hlth0097","Number of adult care homes which have notified CIW of one or more confirmed cases of COVID-19, in staff or residents, by local authority and date"
"CADC_7","Adult & Child in the last 7 days","hlth0097","Number of adult care homes which have notified CIW of one or more confirmed cases of COVID-19, in staff or residents, by local authority and date"
"CADH_7","Adult Care Homes in the last 7 days","hlth0097","Number of adult care homes which have notified CIW of one or more confirmed cases of COVID-19, in staff or residents, by local authority and date"
"2","Adult Care homes Total in the last 20 days","hlth0097","Number of adult care homes which have notified CIW of one or more confirmed cases of COVID-19, in staff or residents, by local authority and date"
"CADH_20","Adult Care Homes in the last 20 days","hlth0097","Number of adult care homes which have notified CIW of one or more confirmed cases of COVID-19, in staff or residents, by local authority and date"
"Not Covid Related","Non COVID19 Related","hlth0098","Number of notifications of deaths of adult care home residents involving COVID-19 (both confirmed and suspected), occurring in care homes, by local authority and day of notification"
"Confirmed","Confirmed COVID19","hlth0098","Number of notifications of deaths of adult care home residents involving COVID-19 (both confirmed and suspected), occurring in care homes, by local authority and day of notification"
"COVID19 Related","COVID19 Related","hlth0098","Number of notifications of deaths of adult care home residents involving COVID-19 (both confirmed and suspected), occurring in care homes, by local authority and day of notification"
"Total Deaths","Total Deaths","hlth0098","Number of notifications of deaths of adult care home residents involving COVID-19 (both confirmed and suspected), occurring in care homes, by local authority and day of notification"
"Suspected","Suspected COVID19","hlth0098","Number of notifications of deaths of adult care home residents involving COVID-19 (both confirmed and suspected), occurring in care homes, by local authority and day of notification"
"Total Deaths","Total Deaths","hlth0099","Number of daily notifications of deaths of adult care home residents with and without care provided, by date of notification"
"With Nursing","With nursing","hlth0099","Number of daily notifications of deaths of adult care home residents with and without care provided, by date of notification"
"Without Nursing","Without nursing","hlth0099","Number of daily notifications of deaths of adult care home residents with and without care provided, by date of notification"
"01/01/2021","01 January 2021","hlth0100","Number of registered adult care homes by local authority"
"01/02/2023","01 February 2023","hlth0100","Number of registered adult care homes by local authority"
"01/06/2022","01 June 2022","hlth0100","Number of registered adult care homes by local authority"
"01/12/2021","01 December 2021","hlth0100","Number of registered adult care homes by local authority"
"02/02/2022","02 February 2022","hlth0100","Number of registered adult care homes by local authority"
"02/03/2022","02 March 2022","hlth0100","Number of registered adult care homes by local authority"
"02/06/2021","02 June 2021","hlth0100","Number of registered adult care homes by local authority"
"02/11/2022","02 November 2022","hlth0100","Number of registered adult care homes by local authority"
"03/11/2021","03 November 2021","hlth0100","Number of registered adult care homes by local authority"
"04/01/2023","04 January 2023","hlth0100","Number of registered adult care homes by local authority"
"04/05/2022","04 May 2022","hlth0100","Number of registered adult care homes by local authority"
"04/12/2020","04 December 2020","hlth0100","Number of registered adult care homes by local authority"
"05/01/2022","05 January 2022","hlth0100","Number of registered adult care homes by local authority"
"05/10/2022","05 October 2022","hlth0100","Number of registered adult care homes by local authority"
"06/04/2022","06 April 2022","hlth0100","Number of registered adult care homes by local authority"
"06/05/2021","06 May 2021","hlth0100","Number of registered adult care homes by local authority"
"06/07/2022","06 July 2022","hlth0100","Number of registered adult care homes by local authority"
"06/10/2021","06 October 2021","hlth0100","Number of registered adult care homes by local authority"
"07/09/2022","07 September 2022","hlth0100","Number of registered adult care homes by local authority"
"08/06/2022","08 June 2022","hlth0100","Number of registered adult care homes by local authority"
"08/09/2021","08 September 2021","hlth0100","Number of registered adult care homes by local authority"
"09/02/2022","09 February 2022","hlth0100","Number of registered adult care homes by local authority"
"09/03/2022","09 March 2022","hlth0100","Number of registered adult care homes by local authority"
"09/04/2021","09 April 2021","hlth0100","Number of registered adult care homes by local authority"
"10/08/2022","10 August 2022","hlth0100","Number of registered adult care homes by local authority"
"11/05/2022","11 May 2022","hlth0100","Number of registered adult care homes by local authority"
"11/08/2021","11 August 2021","hlth0100","Number of registered adult care homes by local authority"
"12/02/2021","12 February 2021","hlth0100","Number of registered adult care homes by local authority"
"12/03/2021","12 March 2021","hlth0100","Number of registered adult care homes by local authority"
"13/04/2022","13 April 2022","hlth0100","Number of registered adult care homes by local authority"
"13/07/2022","13 July 2022","hlth0100","Number of registered adult care homes by local authority"
"14/07/2021","14 July 2021","hlth0100","Number of registered adult care homes by local authority"
"14/12/2022","14 December 2022","hlth0100","Number of registered adult care homes by local authority"
"15/01/2021","15 January 2021","hlth0100","Number of registered adult care homes by local authority"
"15/06/2022","15 June 2022","hlth0100","Number of registered adult care homes by local authority"
"15/12/2021","15 December 2021","hlth0100","Number of registered adult care homes by local authority"
"16/02/2022","16 February 2022","hlth0100","Number of registered adult care homes by local authority"
"16/03/2022","16 March 2022","hlth0100","Number of registered adult care homes by local authority"
"16/06/2021","16 June 2021","hlth0100","Number of registered adult care homes by local authority"
"16/11/2022","16 November 2022","hlth0100","Number of registered adult care homes by local authority"
"17/11/2021","17 November 2021","hlth0100","Number of registered adult care homes by local authority"
"18/01/2023","18 January 2023","hlth0100","Number of registered adult care homes by local authority"
"18/05/2022","18 May 2022","hlth0100","Number of registered adult care homes by local authority"
"18/12/2020","18 December 2020","hlth0100","Number of registered adult care homes by local authority"
"19/01/2022","19 January 2022","hlth0100","Number of registered adult care homes by local authority"
"19/10/2022","19 October 2022","hlth0100","Number of registered adult care homes by local authority"
"20/04/2022","20 April 2022","hlth0100","Number of registered adult care homes by local authority"
"20/05/2021","20 May 2021","hlth0100","Number of registered adult care homes by local authority"
"20/07/2022","20 July 2022","hlth0100","Number of registered adult care homes by local authority"
"20/10/2021","20 October 2021","hlth0100","Number of registered adult care homes by local authority"
"21/09/2022","21 September 2022","hlth0100","Number of registered adult care homes by local authority"
"22/04/2021","22 April 2021","hlth0100","Number of registered adult care homes by local authority"
"22/06/2022","22 June 2022","hlth0100","Number of registered adult care homes by local authority"
"22/09/2021","22 September 2021","hlth0100","Number of registered adult care homes by local authority"
"23/02/2022","23 February 2022","hlth0100","Number of registered adult care homes by local authority"
"23/03/2022","23 March 2022","hlth0100","Number of registered adult care homes by local authority"
"24/08/2022","24 August 2022","hlth0100","Number of registered adult care homes by local authority"
"25/05/2022","25 May 2022","hlth0100","Number of registered adult care homes by local authority"
"25/08/2021","25 August 2021","hlth0100","Number of registered adult care homes by local authority"
"26/01/2022","26 January 2022","hlth0100","Number of registered adult care homes by local authority"
"26/02/2021","26 February 2021","hlth0100","Number of registered adult care homes by local authority"
"26/03/2021","26 March 2021","hlth0100","Number of registered adult care homes by local authority"
"27/04/2022","27 April 2022","hlth0100","Number of registered adult care homes by local authority"
"27/07/2022","27 July 2022","hlth0100","Number of registered adult care homes by local authority"
"28/07/2021","28 July 2021","hlth0100","Number of registered adult care homes by local authority"
"29/01/2021","29 January 2021","hlth0100","Number of registered adult care homes by local authority"
"29/06/2022","29 June 2022","hlth0100","Number of registered adult care homes by local authority"
"29/12/2021","29 December 2021","hlth0100","Number of registered adult care homes by local authority"
"30/03/2022","30 March 2022","hlth0100","Number of registered adult care homes by local authority"
"30/06/2021","30 June 2021","hlth0100","Number of registered adult care homes by local authority"
"30/11/2022","30 November 2022","hlth0100","Number of registered adult care homes by local authority"
